youth_id,age,youth_county,youth_need_tags,resource_id,resource_name,resource_category,resource_county,eligibility_age_min,eligibility_age_max,matched_need_tags,match_score,default_priority,referral_method,website
YP-0001,18,Kent,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support;young_adults,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,case_management;education;employment;financial_literacy;housing;life_skills,63,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0001,18,Kent,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support;young_adults,R001,DSCYF Independent Living Services,Independent Living,Statewide,14,21,housing;life_skills;transition_support,33,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/independent-living/
YP-0001,18,Kent,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support;young_adults,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support;housing,33,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0001,18,Kent,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support;young_adults,R005,People's Place Independent Living,Independent Living,Statewide,16,23,case_management;life_skills;transition_support,33,High,DFS referral or self-referral for 18-23,https://peoplesplace2.com/services/independent-living
YP-0001,18,Kent,GED;career;case_management;credentials;education;employment;financial_literacy;general_support;homelessness;housing;independent_living;job_training;life_skills;paid_work;postsecondary;transition_support;young_adults,R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,Statewide,18,21,housing;independent_living,23,High,Caseworker/DFS referral,https://kids.delaware.gov/family-services/il-provider-resources/
YP-0002,17,New Castle,GED;career;credentials;education;employment;general_support;postsecondary;professional_skills;resume,R022,West End Education and Employment Department,Employment & Education,New Castle,16,24,GED;credentials;postsecondary,33,High,Program inquiry,https://westendnh.org/programs/academic-education/
YP-0002,17,New Castle,GED;career;credentials;education;employment;general_support;postsecondary;professional_skills;resume,R007,Delaware 211,Resource Navigation,Statewide,0,99,education;general_support,23,High,"Call 211, text zip code to 898-211, or use website",https://delaware211.org/
YP-0002,17,New Castle,GED;career;credentials;education;employment;general_support;postsecondary;professional_skills;resume,R003,West End Neighborhood House Life Lines,Housing & Case Management,Statewide,16,23,education;employment,23,High,Referral or program inquiry,https://westendnh.org/programs/life-lines/
YP-0002,17,New Castle,GED;career;credentials;education;employment;general_support;postsecondary;professional_skills;resume,R019,YMCA of Delaware Teen Workforce Development,Employment,Statewide,15,19,professional_skills;resume,23,High,Interest form / program enrollment,https://www.ymcade.org/teen-workforce-development/
YP-0002,17,New Castle,GED;career;credentials;education;employment;general_support;postsecondary;professional_skills;resume,R016,The Warehouse,Teen Center / Engagement,New Castle,13,24,education;employment,22,Medium,Membership / program enrollment,https://teenwarehouse.org/
