youth_id,age,county,education,employment,housing,mentor_status,placement_count,prior_homelessness
YP-0001,18,New Castle,Not enrolled,Unemployed,Stable housing,Assigned,5,Yes
YP-0002,17,New Castle,Not enrolled,Part-time,Stable housing,Assigned,1,No
YP-0003,14,Sussex,Associate degree,Unemployed,Stable housing,Assigned,4,Yes
YP-0004,19,New Castle,Middle school,Full-time,Stable housing,Assigned,6,No
YP-0005,13,New Castle,High school,Part-time,Couch surfing,Not assigned,6,No
YP-0006,16,New Castle,Not enrolled,Unemployed,Transitional housing,Assigned,7,No
YP-0007,13,New Castle,Not enrolled,Unemployed,Transitional housing,Not assigned,7,Yes
YP-0008,15,Kent,GED/HiSET,Unemployed,Stable housing,Assigned,1,No
YP-0009,18,New Castle,Associate degree,Unemployed,Couch surfing,Assigned,2,Yes
YP-0010,18,Sussex,Associate degree,Part-time,Temporary shelter,Not assigned,7,Yes
YP-0011,19,New Castle,High school,Full-time,Stable housing,Not assigned,4,No
YP-0012,18,Kent,GED/HiSET,Unemployed,At risk of homelessness,Assigned,3,Yes
YP-0013,17,Sussex,High school,Full-time,Stable housing,Assigned,2,Yes
YP-0014,17,Kent,GED/HiSET,Unemployed,Stable housing,Assigned,5,Yes
YP-0015,17,Sussex,Not enrolled,Unemployed,Couch surfing,Assigned,3,No
YP-0016,13,New Castle,Associate degree,Part-time,Temporary shelter,Assigned,3,No
YP-0017,15,New Castle,GED/HiSET,Unemployed,Stable housing,Not assigned,5,Yes
YP-0018,14,New Castle,Some college,Seasonal,At risk of homelessness,Assigned,6,No
YP-0019,15,New Castle,Middle school,Unemployed,Transitional housing,Assigned,1,No
YP-0020,13,New Castle,High school,Seasonal,Transitional housing,Assigned,1,Yes
YP-0021,13,New Castle,Not enrolled,Part-time,Transitional housing,Not assigned,5,No
YP-0022,16,Kent,Some college,Unemployed,Stable housing,Assigned,1,No
YP-0023,18,New Castle,Middle school,Full-time,Stable housing,Assigned,2,No
YP-0024,13,New Castle,Middle school,Unemployed,Stable housing,Assigned,1,No
YP-0025,18,New Castle,Associate degree,Unemployed,Stable housing,Assigned,2,Yes
YP-0026,18,New Castle,GED/HiSET,Unemployed,Stable housing,Not assigned,4,No
YP-0027,16,Sussex,GED/HiSET,Unemployed,Stable housing,Assigned,3,No
YP-0028,13,Sussex,Associate degree,Unemployed,Couch surfing,Assigned,6,No
YP-0029,14,Sussex,Middle school,Unemployed,Stable housing,Assigned,2,No
YP-0030,13,Sussex,GED/HiSET,Part-time,At risk of homelessness,Assigned,6,No
YP-0031,13,New Castle,Middle school,Unemployed,Stable housing,Assigned,3,No
YP-0032,13,Kent,GED/HiSET,Unemployed,Transitional housing,Assigned,4,No
YP-0033,19,New Castle,Some college,Full-time,Stable housing,Assigned,1,No
YP-0034,17,New Castle,Not enrolled,Full-time,Stable housing,Assigned,4,No
YP-0035,13,New Castle,Some college,Unemployed,Stable housing,Assigned,5,No
YP-0036,17,New Castle,Middle school,Part-time,Stable housing,Assigned,5,No
YP-0037,15,New Castle,Middle school,Unemployed,Stable housing,Assigned,1,No
YP-0038,15,New Castle,Not enrolled,Unemployed,Couch surfing,Assigned,1,Yes
YP-0039,15,New Castle,Middle school,Seasonal,At risk of homelessness,Not assigned,3,No
YP-0040,17,Sussex,Associate degree,Unemployed,At risk of homelessness,Not assigned,5,Yes
YP-0041,15,New Castle,Associate degree,Unemployed,At risk of homelessness,Assigned,1,No
YP-0042,15,New Castle,Some college,Unemployed,Stable housing,Not assigned,6,Yes
YP-0043,19,New Castle,Not enrolled,Unemployed,Stable housing,Assigned,0,No
YP-0044,15,Sussex,Middle school,Part-time,Couch surfing,Assigned,1,Yes
YP-0045,18,New Castle,Middle school,Part-time,Transitional housing,Assigned,2,No
YP-0046,15,New Castle,Not enrolled,Seasonal,Stable housing,Assigned,0,No
YP-0047,19,Sussex,GED/HiSET,Training / internship,Temporary shelter,Not assigned,2,No
YP-0048,19,New Castle,Middle school,Training / internship,Stable housing,Not assigned,2,No
YP-0049,18,New Castle,Associate degree,Seasonal,Stable housing,Not assigned,0,No
